["port 1","LEFT"]
["port 2","LEFT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(100, 3)
1.9034441777777778e+14 5.9799512554666078e-04 -2.6772522788014106e+00
1.9041398810591294e+14 5.8541888588433462e-04 -2.6773896411303575e+00
1.9048355843404809e+14 5.7288460775661810e-04 -2.6774476764133315e+00
1.9055312876218325e+14 5.6039148424197023e-04 -2.6774227462894942e+00
1.9062269909031841e+14 5.4793875383694814e-04 -2.6773109434433722e+00
1.9069226941845353e+14 5.3552570133538139e-04 -2.6771080601484254e+00
1.9076183974658869e+14 5.2315165874947719e-04 -2.6768095526117484e+00
1.9083141007472384e+14 5.1081600625838268e-04 -2.6764105005017598e+00
1.9090098040285900e+14 4.9851817323639418e-04 -2.6759055608410711e+00
1.9097055073099416e+14 4.8625763934449296e-04 -2.6752889153949768e+00
1.9104012105912931e+14 4.7403393572853064e-04 -2.6745542104202480e+00
1.9110969138726447e+14 4.6184664633900643e-04 -2.6736944874940400e+00
1.9117926171539962e+14 4.4969540940986984e-04 -2.6727021038005478e+00
1.9124883204353475e+14 4.3757991912449728e-04 -2.6715686400418002e+00
1.9131840237166991e+14 4.2549992752398532e-04 -2.6702847935795164e+00
1.9138797269980506e+14 4.1345524670389550e-04 -2.6688402540711413e+00
1.9145754302794022e+14 4.0144575136919896e-04 -2.6672235581209085e+00
1.9152711335607538e+14 3.8947138183039555e-04 -2.6654219187349018e+00
1.9159668368421053e+14 3.7753214754232989e-04 -2.6634210243117642e+00
1.9166625401234569e+14 3.6562813129939313e-04 -2.6612048007280333e+00
1.9173582434048084e+14 3.5375949427084321e-04 -2.6587551283091369e+00
1.9180539466861597e+14 3.4192648204397146e-04 -2.6560515034781251e+00
1.9187496499675112e+14 3.3012943194750513e-04 -2.6530706320760915e+00
1.9194453532488628e+14 3.1836878197218749e-04 -2.6497859378203596e+00
1.9201410565302144e+14 3.0664508169161498e-04 -2.6461669645496775e+00
1.9208367598115659e+14 2.9495900574041641e-04 -2.6421786446807101e+00
1.9215324630929175e+14 2.8331137053563365e-04 -2.6377803978579486e+00
1.9222281663742691e+14 2.7170315518264168e-04 -2.6329250122583563e+00
1.9229238696556206e+14 2.6013552780345485e-04 -2.6275572454067122e+00
1.9236195729369719e+14 2.4860987897001624e-04 -2.6216120595928323e+00
1.9243152762183234e+14 2.3712786452174920e-04 -2.6150123767643318e+00
1.9250109794996750e+14 2.2569146093471277e-04 -2.6076661946623743e+00
1.9257066827810266e+14 2.1430303765265419e-04 -2.5994628444991967e+00
1.9264023860623781e+14 2.0296545265843896e-04 -2.5902680810260437e+00
1.9270980893437297e+14 1.9168218029428749e-04 -2.5799175639830128e+00
1.9277937926250812e+14 1.8045748454660523e-04 -2.5682080927901927e+00
1.9284894959064328e+14 1.6929665742656719e-04 -2.5548856572587852e+00
1.9291851991877844e+14 1.5820635228281147e-04 -2.5396289051033194e+00
1.9298809024691356e+14 1.4719505815004183e-04 -2.5220259034845389e+00
1.9305766057504872e+14 1.3627378813735834e-04 -2.5015409199563017e+00
1.9312723090318388e+14 1.2545709996989119e-04 -2.4774660901775580e+00
1.9319680123131903e+14 1.1476464458888651e-04 -2.4488498171685960e+00
1.9326637155945419e+14 1.0422357579547763e-04 -2.4143888334029762e+00
1.9333594188758934e+14 9.3872400444590422e-05 -2.3722630529959918e+00
1.9340551221572450e+14 8.3767297239496511e-05 -2.3198808862546692e+00
1.9347508254385966e+14 7.3992741396102313e-05 -2.2534899374259423e+00
1.9354465287199478e+14 6.4679645291788654e-05 -2.1676115538630474e+00
1.9361422320012994e+14 5.6036056953011551e-05 -2.0543547540300144e+00
1.9368379352826509e+14 4.8395417451238887e-05 -1.9031230823124436e+00
1.9375336385640025e+14 4.2273870513130757e-05 -1.7026685994806399e+00
1.9382293418453541e+14 3.8370234758737298e-05 -1.4496671715541831e+00
1.9389250451267056e+14 3.7349624720384633e-05 -1.1634929939121292e+00
1.9396207484080572e+14 3.9401534217915948e-05 -8.8613997932208255e-01
1.9403164516894088e+14 4.4067264969251391e-05 -6.5294677576765436e-01
1.9410121549707600e+14 5.0600984941219238e-05 -4.7285082825664404e-01
1.9417078582521116e+14 5.8353842480423188e-05 -3.3782169428520825e-01
1.9424035615334631e+14 6.6881132189634576e-05 -2.3631416709987726e-01
1.9430992648148147e+14 7.5902424683920401e-05 -1.5874713367815096e-01
1.9437949680961662e+14 8.5242985610144126e-05 -9.8252889727743126e-02
1.9444906713775178e+14 9.4791960292186543e-05 -5.0107950563658930e-02
1.9451863746588694e+14 1.0447696094667130e-04 -1.1071831465874291e-02
1.9458820779402209e+14 1.1424920688937836e-04 2.1106850083165707e-02
1.9465777812215725e+14 1.2407479862245997e-04 4.8021009284659404e-02
1.9472734845029238e+14 1.3392948810734775e-04 7.0819991230945845e-02
1.9479691877842753e+14 1.4379546185388356e-04 9.0349173251980844e-02
1.9486648910656269e+14 1.5365930785901104e-04 1.0724169152816135e-01
1.9493605943469784e+14 1.6351069668904279e-04 1.2197969479692719e-01
1.9500562976283300e+14 1.7334150461896137e-04 1.3493598530463630e-01
1.9507520009096816e+14 1.8314521739270010e-04 1.4640283960965134e-01
1.9514477041910331e+14 1.9291651634618617e-04 1.5661230588654571e-01
1.9521434074723847e+14 2.0265098568514667e-04 1.6575073563046300e-01
1.9528391107537359e+14 2.1234490190310474e-04 1.7396934904666783e-01
1.9535348140350875e+14 2.2199507992238602e-04 1.8139202795469048e-01
1.9542305173164391e+14 2.3159875910593522e-04 1.8812114084685619e-01
1.9549262205977906e+14 2.4115351771744847e-04 1.9424195129315730e-01
1.9556219238791422e+14 2.5065720800289442e-04 1.9982599278926710e-01
1.9563176271604938e+14 2.6010790639536565e-04 2.0493368008197624e-01
1.9570133304418453e+14 2.6950387497184621e-04 2.0961634986251346e-01
1.9577090337231969e+14 2.7884353136853530e-04 2.1391787032204351e-01
1.9584047370045481e+14 2.8812542511677335e-04 2.1787592166589137e-01
1.9591004402858997e+14 2.9734821892153060e-04 2.2152302309128327e-01
1.9597961435672512e+14 3.0651067375227854e-04 2.2488736259156852e-01
1.9604918468486028e+14 3.1561163692068751e-04 2.2799347234636547e-01
1.9611875501299544e+14 3.2465003251565022e-04 2.3086278189397177e-01
1.9618832534113059e+14 3.3362485369189731e-04 2.3351407423169362e-01
1.9625789566926575e+14 3.4253515646118595e-04 2.3596386395256833e-01
1.9632746599740091e+14 3.5138005467058873e-04 2.3822671256205880e-01
1.9639703632553603e+14 3.6015871595546686e-04 2.4031549281272502e-01
1.9646660665367119e+14 3.6887035848094494e-04 2.4224161132414390e-01
1.9653617698180634e+14 3.7751424831989982e-04 2.4401519704967567e-01
1.9660574730994150e+14 3.8608969737093346e-04 2.4564526148522384e-01
1.9667531763807666e+14 3.9459606170079111e-04 2.4713983546708429e-01
1.9674488796621181e+14 4.0303274025574922e-04 2.4850608645535666e-01
1.9681445829434697e+14 4.1139917386950246e-04 2.4975041946839033e-01
1.9688402862248212e+14 4.1969484451666100e-04 2.5087856428529187e-01
1.9695359895061725e+14 4.2791927478102743e-04 2.5189565103627320e-01
1.9702316927875241e+14 4.3607202749019433e-04 2.5280627598737965e-01
1.9709273960688756e+14 4.4415270550274272e-04 2.5361455893979551e-01
1.9716230993502272e+14 4.5216095160894101e-04 2.5432419349332452e-01
1.9723188026315788e+14 4.6009644853537096e-04 2.5493849123098794e-01
("port 1","mode 1",1,"port 2",1,"transmission")
